IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.69.150.180,443,443,true,ORD,North America,US,Chicago,347,8.79
34.105.189.25,443,443,true,LHR,Europe,GB,London,212,8.77
34.70.91.86,443,443,true,ORD,North America,US,Chicago,281,8.71
34.70.91.86,443,443,true,ORD,North America,US,Chicago,375,8.65
34.70.91.86,443,443,true,ORD,North America,US,Chicago,300,8.65
35.197.239.137,443,443,true,LHR,Europe,GB,London,289,8.61
34.142.5.107,443,443,true,LHR,Europe,GB,London,388,8.55
35.189.113.240,443,443,true,LHR,Europe,GB,London,298,8.46
35.202.158.120,443,443,true,ORD,North America,US,Chicago,312,8.43
34.89.30.78,443,443,true,LHR,Europe,GB,London,225,8.42
34.142.31.109,443,443,true,LHR,Europe,GB,London,344,8.20
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,325,8.16
35.196.72.166,443,443,true,ATL,North America,US,Atlanta,318,8.11
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,322,7.59
34.105.130.188,443,443,true,LHR,Europe,GB,London,357,7.59
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,412,6.57
34.105.233.161,443,443,true,LHR,Europe,GB,London,331,6.52
34.105.189.25,443,443,true,LHR,Europe,GB,London,284,6.37
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,263,6.32
35.246.97.251,443,443,true,LHR,Europe,GB,London,281,5.69
34.105.140.105,443,443,true,LHR,Europe,GB,London,505,5.24
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,372,0.58
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,453,0.55
34.142.192.44,80,80,false,SIN,Asia Pacific,SG,Singapore,27,0.00
34.142.192.44,443,80,false,SIN,Asia Pacific,SG,Singapore,30,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,37,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,38,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,60,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,63,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,70,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,73,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,83,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,100,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,101,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,108,0.00
34.80.240.128,8080,80,false,TPE,Asia Pacific,TW,Taipei,109,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,115,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,119,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,123,0.00
34.80.240.128,8080,80,false,TPE,Asia Pacific,TW,Taipei,143,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,152,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,SG,Singapore,153,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,159,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,159,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,159,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,161,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,166,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.80.240.128,8080,80,false,TPE,Asia Pacific,TW,Taipei,167,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,167,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,170,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,173,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,177,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,179,0.00
