IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
67.226.223.54,80,443,true,LHR,Europe,GB,London,159,10.84
67.226.223.207,80,443,true,LHR,Europe,GB,London,419,10.84
67.226.223.67,80,443,true,LHR,Europe,GB,London,153,10.83
67.226.223.99,80,443,true,LHR,Europe,GB,London,154,10.83
54.76.193.200,443,443,true,DUB,Europe,IE,Dublin,265,10.83
67.226.223.33,80,443,true,LHR,Europe,GB,London,469,10.83
67.226.223.128,80,443,true,LHR,Europe,GB,London,463,10.82
67.226.223.163,80,443,true,LHR,Europe,GB,London,153,10.80
67.226.223.32,80,443,true,LHR,Europe,GB,London,155,10.80
67.226.223.242,80,443,true,LHR,Europe,GB,London,603,10.80
67.226.223.71,80,443,true,LHR,Europe,GB,London,156,10.77
67.226.223.252,80,443,true,LHR,Europe,GB,London,158,10.74
67.226.223.182,80,443,true,LHR,Europe,GB,London,156,10.74
13.42.24.13,443,443,true,LHR,Europe,GB,London,306,10.74
67.226.223.69,80,443,true,LHR,Europe,GB,London,160,10.73
67.226.223.80,80,443,true,LHR,Europe,GB,London,157,10.72
67.226.223.219,80,443,true,LHR,Europe,GB,London,160,10.68
67.226.223.11,80,443,true,LHR,Europe,GB,London,155,10.64
67.226.223.46,443,443,true,LHR,Europe,GB,London,157,10.62
67.226.223.47,80,443,true,LHR,Europe,GB,London,155,10.60
67.226.223.84,80,443,true,LHR,Europe,GB,London,425,10.56
67.226.223.186,80,443,true,LHR,Europe,GB,London,402,10.55
67.226.223.254,80,443,true,LHR,Europe,GB,London,424,10.52
3.71.189.51,2053,443,true,FRA,Europe,DE,Frankfurt,289,10.51
67.226.223.169,80,443,true,LHR,Europe,GB,London,155,10.50
67.226.223.198,80,443,true,LHR,Europe,GB,London,155,10.49
52.11.60.242,8443,443,true,SEA,North America,US,Seattle,228,10.48
67.226.223.78,80,443,true,LHR,Europe,GB,London,158,10.45
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,329,10.44
67.226.223.81,80,443,true,LHR,Europe,GB,London,153,10.44
67.226.223.41,80,443,true,LHR,Europe,GB,London,154,10.38
67.226.223.247,80,443,true,LHR,Europe,GB,London,160,10.34
44.244.200.229,443,443,true,SEA,North America,US,Seattle,328,10.28
51.20.132.68,2053,443,true,ARN,Europe,SE,Stockholm,201,10.23
51.21.48.77,443,443,true,ARN,Europe,SE,Stockholm,304,10.19
54.184.215.5,8443,443,true,SEA,North America,US,Seattle,297,10.18
54.193.48.13,443,443,true,SJC,North America,US,San Jose,369,10.16
67.226.223.176,80,443,true,LHR,Europe,GB,London,154,10.13
51.20.103.134,443,443,true,CPH,Europe,DK,Copenhagen,267,10.13
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,171,10.11
67.226.223.124,80,443,true,LHR,Europe,GB,London,310,10.09
52.12.108.21,8443,443,true,SEA,North America,US,Seattle,287,10.08
54.67.51.104,2053,443,true,SJC,North America,US,San Jose,347,10.00
52.38.6.70,8443,443,true,SEA,North America,US,Seattle,239,10.00
54.71.254.40,443,443,true,SEA,North America,US,Seattle,346,9.98
54.200.244.93,443,443,true,PDX,North America,US,Portland,236,9.91
44.244.126.149,443,443,true,SEA,North America,US,Seattle,290,9.90
50.112.78.17,443,443,true,SEA,North America,US,Seattle,253,9.84
54.201.71.20,443,443,true,SEA,North America,US,Seattle,225,9.83
54.187.212.113,2053,443,true,PDX,North America,US,Portland,299,9.83
44.244.106.13,443,443,true,SEA,North America,US,Seattle,292,9.79
52.13.94.188,443,443,true,SEA,North America,US,Seattle,253,9.77
54.193.81.187,443,443,true,SJC,North America,US,San Jose,311,9.76
52.37.225.100,443,443,true,SEA,North America,US,Seattle,351,9.76
52.42.71.111,443,443,true,SEA,North America,US,Seattle,234,9.74
51.20.238.138,8080,443,true,ARN,Europe,SE,Stockholm,349,9.71
52.209.132.15,443,443,true,DUB,Europe,IE,Dublin,260,9.67
52.13.212.72,443,443,true,PDX,North America,US,Portland,229,9.66
44.245.10.50,8443,443,true,SEA,North America,US,Seattle,218,9.62
52.35.114.64,443,443,true,SEA,North America,US,Seattle,268,9.60
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,252,9.59
44.234.67.78,443,443,true,SEA,North America,US,Seattle,460,9.58
54.245.61.214,8443,443,true,SEA,North America,US,Seattle,244,9.55
54.71.11.250,443,443,true,SEA,North America,US,Seattle,223,9.55
54.189.97.215,443,443,true,SEA,North America,US,Seattle,316,9.52
54.202.230.176,443,443,true,SEA,North America,US,Seattle,294,9.51
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,322,9.50
44.224.24.91,443,443,true,PDX,North America,US,Portland,464,9.50
44.245.224.80,443,443,true,SEA,North America,US,Seattle,298,9.50
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,308,9.48
54.201.113.244,443,443,true,SEA,North America,US,Seattle,222,9.47
52.36.111.99,443,443,true,SEA,North America,US,Seattle,349,9.47
44.235.74.154,443,443,true,SEA,North America,US,Seattle,237,9.46
54.202.110.148,443,443,true,SEA,North America,US,Seattle,235,9.45
13.40.71.171,443,443,true,LHR,Europe,GB,London,405,9.45
54.184.145.29,443,443,true,SEA,North America,US,Seattle,252,9.43
52.34.148.137,8443,443,true,SEA,North America,US,Seattle,379,9.42
44.242.136.110,443,443,true,SEA,North America,US,Seattle,261,9.42
52.10.45.113,443,443,true,SEA,North America,US,Seattle,314,9.40
54.186.245.242,443,443,true,SEA,North America,US,Seattle,271,9.40
44.242.172.61,443,443,true,SEA,North America,US,Seattle,311,9.39
67.226.223.36,80,443,true,LHR,Europe,GB,London,544,9.34
52.12.76.35,8443,443,true,SEA,North America,US,Seattle,294,9.33
54.187.212.113,8443,443,true,PDX,North America,US,Portland,266,9.32
52.12.162.159,443,443,true,PDX,North America,US,Portland,326,9.30
44.244.143.68,443,443,true,SEA,North America,US,Seattle,256,9.30
44.243.60.18,443,443,true,SEA,North America,US,Seattle,381,9.30
44.234.189.173,443,443,true,SEA,North America,US,Seattle,309,9.26
52.24.15.209,443,443,true,SEA,North America,US,Seattle,250,9.26
54.149.19.253,443,443,true,SEA,North America,US,Seattle,218,9.25
13.48.47.122,443,443,true,AMS,Europe,NL,Amsterdam,253,9.24
44.243.79.243,443,443,true,SEA,North America,US,Seattle,282,9.22
54.189.38.14,443,443,true,SEA,North America,US,Seattle,216,9.20
44.227.209.152,443,443,true,PDX,North America,US,Portland,336,9.19
52.25.29.130,443,443,true,SEA,North America,US,Seattle,223,9.19
52.88.154.102,443,443,true,SEA,North America,US,Seattle,251,9.18
54.190.24.101,443,443,true,SEA,North America,US,Seattle,312,9.18
44.245.200.100,8443,443,true,SEA,North America,US,Seattle,271,9.18
54.70.202.72,443,443,true,SEA,North America,US,Seattle,346,9.15
44.244.126.118,443,443,true,SEA,North America,US,Seattle,344,9.14
54.186.101.40,443,443,true,SEA,North America,US,Seattle,396,9.14
67.226.223.3,80,443,true,LHR,Europe,GB,London,377,9.14
54.245.216.88,8443,443,true,SEA,North America,US,Seattle,314,9.14
54.149.179.51,443,443,true,SEA,North America,US,Seattle,331,9.12
52.24.140.180,443,443,true,SEA,North America,US,Seattle,291,9.12
54.184.186.10,443,443,true,SEA,North America,US,Seattle,318,9.11
44.244.166.95,443,443,true,SEA,North America,US,Seattle,343,9.10
67.226.223.118,80,443,true,LHR,Europe,GB,London,402,9.09
54.212.133.56,443,443,true,SEA,North America,US,Seattle,215,9.09
54.202.224.103,443,443,true,SEA,North America,US,Seattle,267,9.08
44.234.146.170,443,443,true,SEA,North America,US,Seattle,295,9.08
54.241.79.250,80,443,true,SJC,North America,US,San Jose,245,9.07
54.219.128.169,80,443,true,SJC,North America,US,San Jose,324,9.07
54.184.166.156,443,443,true,SEA,North America,US,Seattle,356,9.07
44.245.237.254,443,443,true,SEA,North America,US,Seattle,254,9.04
44.244.165.169,443,443,true,SEA,North America,US,Seattle,355,9.04
54.244.201.61,443,443,true,PDX,North America,US,Portland,317,9.03
54.151.9.4,80,443,true,SJC,North America,US,San Jose,393,9.03
44.242.242.243,443,443,true,SEA,North America,US,Seattle,496,9.03
54.212.157.208,443,443,true,SEA,North America,US,Seattle,251,9.02
54.244.212.190,443,443,true,SEA,North America,US,Seattle,359,9.02
54.201.7.92,443,443,true,SEA,North America,US,Seattle,216,9.02
52.11.38.216,443,443,true,SEA,North America,US,Seattle,248,9.02
54.218.100.236,443,443,true,SEA,North America,US,Seattle,242,9.01
52.41.46.72,443,443,true,SEA,North America,US,Seattle,280,9.01
54.149.150.21,443,443,true,SEA,North America,US,Seattle,331,9.00
54.244.219.48,443,443,true,SEA,North America,US,Seattle,244,8.99
67.226.223.130,80,443,true,LHR,Europe,GB,London,374,8.99
44.234.49.4,443,443,true,SEA,North America,US,Seattle,353,8.98
54.200.36.130,443,443,true,SEA,North America,US,Seattle,411,8.98
54.186.244.160,443,443,true,SEA,North America,US,Seattle,338,8.98
54.176.113.170,80,443,true,SJC,North America,US,San Jose,262,8.97
44.245.20.111,443,443,true,SEA,North America,US,Seattle,306,8.95
54.190.161.208,8443,443,true,SEA,North America,US,Seattle,248,8.94
54.149.235.51,443,443,true,SEA,North America,US,Seattle,406,8.92
54.244.160.126,443,443,true,SEA,North America,US,Seattle,367,8.90
54.184.186.36,443,443,true,SEA,North America,US,Seattle,336,8.89
44.234.56.113,443,443,true,SEA,North America,US,Seattle,270,8.88
54.70.4.106,443,443,true,SEA,North America,US,Seattle,267,8.88
54.148.167.46,443,443,true,SEA,North America,US,Seattle,328,8.88
54.212.217.202,443,443,true,SEA,North America,US,Seattle,216,8.87
44.243.166.176,443,443,true,SEA,North America,US,Seattle,290,8.87
54.189.26.122,443,443,true,SEA,North America,US,Seattle,211,8.87
44.244.234.150,443,443,true,SEA,North America,US,Seattle,229,8.86
52.34.177.189,443,443,true,SEA,North America,US,Seattle,364,8.86
54.212.199.163,443,443,true,SEA,North America,US,Seattle,257,8.86
54.71.101.114,443,443,true,SEA,North America,US,Seattle,367,8.86
54.244.218.128,443,443,true,SEA,North America,US,Seattle,249,8.85
54.218.17.217,443,443,true,SEA,North America,US,Seattle,345,8.85
54.189.4.40,443,443,true,SEA,North America,US,Seattle,229,8.85
54.191.23.249,443,443,true,SEA,North America,US,Seattle,324,8.85
54.202.229.163,443,443,true,SEA,North America,US,Seattle,295,8.82
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,211,8.81
54.186.100.108,443,443,true,SEA,North America,US,Seattle,358,8.79
54.218.31.133,8443,443,true,SEA,North America,US,Seattle,259,8.79
44.244.5.153,8443,443,true,SEA,North America,US,Seattle,303,8.77
13.49.80.142,443,443,true,ARN,Europe,SE,Stockholm,238,8.76
54.214.124.48,443,443,true,SEA,North America,US,Seattle,258,8.76
67.226.223.22,80,443,true,LHR,Europe,GB,London,413,8.75
54.68.248.74,443,443,true,SEA,North America,US,Seattle,422,8.75
44.244.122.77,443,443,true,SEA,North America,US,Seattle,344,8.74
44.242.168.48,443,443,true,SEA,North America,US,Seattle,301,8.72
44.243.143.38,443,443,true,SEA,North America,US,Seattle,341,8.70
54.212.244.228,443,443,true,SEA,North America,US,Seattle,358,8.68
44.233.116.102,443,443,true,SEA,North America,US,Seattle,263,8.67
54.193.104.34,80,443,true,SJC,North America,US,San Jose,246,8.67
54.189.118.154,443,443,true,SEA,North America,US,Seattle,294,8.63
67.226.223.96,80,443,true,LHR,Europe,GB,London,308,8.63
44.234.43.210,443,443,true,SEA,North America,US,Seattle,272,8.62
67.226.223.62,80,443,true,LHR,Europe,GB,London,413,8.61
44.243.65.10,443,443,true,SEA,North America,US,Seattle,245,8.59
44.227.78.80,443,443,true,PDX,North America,US,Portland,340,8.58
52.26.50.52,443,443,true,SEA,North America,US,Seattle,291,8.57
44.245.176.163,8443,443,true,SEA,North America,US,Seattle,297,8.57
52.36.148.222,443,443,true,SEA,North America,US,Seattle,233,8.56
44.243.174.194,443,443,true,SEA,North America,US,Seattle,237,8.56
54.203.141.197,443,443,true,SEA,North America,US,Seattle,275,8.56
50.18.133.190,80,443,true,SJC,North America,US,San Jose,229,8.55
67.226.221.91,443,443,true,SJC,North America,US,San Jose,377,8.54
52.34.125.6,443,443,true,SEA,North America,US,Seattle,281,8.53
67.226.221.231,443,443,true,SJC,North America,US,San Jose,615,8.53
54.218.112.123,443,443,true,SEA,North America,US,Seattle,330,8.51
54.189.52.50,443,443,true,SEA,North America,US,Seattle,230,8.47
67.226.223.150,80,443,true,LHR,Europe,GB,London,615,8.46
67.226.221.91,80,443,true,SJC,North America,US,San Jose,483,8.45
44.243.75.183,443,443,true,SEA,North America,US,Seattle,277,8.45
52.42.145.179,443,443,true,PDX,North America,US,Portland,338,8.45
54.202.236.157,443,443,true,SEA,North America,US,Seattle,219,8.44
67.226.221.6,80,443,true,SJC,North America,US,San Jose,208,8.44
44.227.242.231,443,443,true,SEA,North America,US,Seattle,211,8.43
44.243.137.180,443,443,true,SEA,North America,US,Seattle,241,8.42
44.234.63.120,443,443,true,SEA,North America,US,Seattle,357,8.41
67.226.221.172,443,443,true,SJC,North America,US,San Jose,474,8.41
44.244.65.20,443,443,true,SEA,North America,US,Seattle,281,8.39
54.67.51.212,80,443,true,SJC,North America,US,San Jose,380,8.39
44.244.42.30,443,443,true,SEA,North America,US,Seattle,297,8.37
67.226.221.225,80,443,true,SJC,North America,US,San Jose,198,8.37
67.226.221.20,80,443,true,SJC,North America,US,San Jose,506,8.36
67.226.221.82,80,443,true,SJC,North America,US,San Jose,218,8.36
52.14.118.71,443,443,true,YYZ,North America,CA,Toronto,258,8.35
52.39.134.164,443,443,true,SEA,North America,US,Seattle,507,8.35
44.243.180.131,443,443,true,SEA,North America,US,Seattle,300,8.34
54.244.216.71,443,443,true,SEA,North America,US,Seattle,271,8.34
67.226.221.231,80,443,true,SJC,North America,US,San Jose,346,8.32
67.226.221.133,80,443,true,SJC,North America,US,San Jose,464,8.32
67.226.223.209,80,443,true,LHR,Europe,GB,London,546,8.31
44.243.143.110,443,443,true,SEA,North America,US,Seattle,390,8.30
44.243.170.56,443,443,true,SEA,North America,US,Seattle,258,8.30
54.213.214.160,443,443,true,PDX,North America,US,Portland,351,8.28
67.226.223.92,80,443,true,LHR,Europe,GB,London,155,8.27
67.226.221.124,80,443,true,SJC,North America,US,San Jose,638,8.27
54.70.149.121,443,443,true,SEA,North America,US,Seattle,353,8.26
67.226.221.253,80,443,true,SJC,North America,US,San Jose,407,8.25
52.89.97.12,443,443,true,PDX,North America,US,Portland,284,8.25
67.226.221.151,80,443,true,SJC,North America,US,San Jose,205,8.24
67.226.221.199,80,443,true,SJC,North America,US,San Jose,512,8.24
67.226.221.194,80,443,true,SJC,North America,US,San Jose,499,8.22
67.226.221.209,443,443,true,SJC,North America,US,San Jose,493,8.21
67.226.221.20,443,443,true,SJC,North America,US,San Jose,201,8.19
54.176.205.20,80,443,true,SJC,North America,US,San Jose,327,8.19
54.177.196.101,80,443,true,SJC,North America,US,San Jose,303,8.19
67.226.221.188,80,443,true,SJC,North America,US,San Jose,215,8.19
44.243.88.134,443,443,true,SEA,North America,US,Seattle,271,8.16
67.226.221.119,80,443,true,SJC,North America,US,San Jose,580,8.11
67.226.223.89,80,443,true,LHR,Europe,GB,London,599,8.09
52.89.107.184,443,443,true,SEA,North America,US,Seattle,378,8.07
52.14.29.158,443,443,true,YYZ,North America,CA,Toronto,272,8.06
44.244.103.61,443,443,true,SEA,North America,US,Seattle,236,8.00
54.213.56.150,443,443,true,SEA,North America,US,Seattle,329,7.98
67.226.221.55,443,443,true,SJC,North America,US,San Jose,577,7.93
67.226.221.67,80,443,true,SJC,North America,US,San Jose,491,7.92
44.244.45.168,443,443,true,SEA,North America,US,Seattle,280,7.92
67.226.221.55,80,443,true,SJC,North America,US,San Jose,218,7.89
44.244.78.67,443,443,true,SEA,North America,US,Seattle,294,7.86
67.226.223.139,80,443,true,LHR,Europe,GB,London,482,7.84
51.20.133.4,8443,443,true,AMS,Europe,NL,Amsterdam,214,7.83
52.15.180.179,443,443,true,YYZ,North America,CA,Toronto,241,7.83
67.226.221.104,80,443,true,SJC,North America,US,San Jose,205,7.82
44.243.182.182,443,443,true,SEA,North America,US,Seattle,290,7.80
52.14.166.252,443,443,true,YYZ,North America,CA,Toronto,424,7.79
67.226.221.191,80,443,true,SJC,North America,US,San Jose,199,7.72
51.20.50.91,8880,443,true,ARN,Europe,SE,Stockholm,325,7.72
44.243.88.223,443,443,true,SEA,North America,US,Seattle,235,7.66
52.14.75.234,443,443,true,YYZ,North America,CA,Toronto,337,7.66
67.226.221.120,80,443,true,SJC,North America,US,San Jose,201,7.66
99.79.44.69,443,443,true,YUL,North America,CA,Montréal,319,7.65
44.243.141.5,443,443,true,SEA,North America,US,Seattle,287,7.63
44.243.219.229,8443,443,true,SEA,North America,US,Seattle,244,7.63
3.98.140.191,443,443,true,YUL,North America,CA,Montréal,334,7.58
44.244.41.111,443,443,true,SEA,North America,US,Seattle,377,7.56
99.79.55.112,443,443,true,YUL,North America,CA,Montréal,294,7.54
44.244.18.59,443,443,true,SEA,North America,US,Seattle,255,7.53
52.15.108.245,443,443,true,YYZ,North America,CA,Toronto,226,7.51
3.99.132.69,443,443,true,YUL,North America,CA,Montréal,261,7.51
3.98.138.76,443,443,true,YUL,North America,CA,Montréal,361,7.49
44.242.210.106,80,443,true,PDX,North America,US,Portland,265,7.49
44.233.199.34,443,443,true,SEA,North America,US,Seattle,274,7.49
3.98.144.102,443,443,true,YUL,North America,CA,Montréal,375,7.49
3.99.129.103,443,443,true,YUL,North America,CA,Montréal,285,7.48
54.191.65.60,443,443,true,PDX,North America,US,Portland,332,7.44
67.226.221.50,80,443,true,SJC,North America,US,San Jose,215,7.41
52.38.6.43,443,443,true,PDX,North America,US,Portland,322,7.39
99.79.47.80,443,443,true,YUL,North America,CA,Montréal,409,7.37
54.203.85.46,80,443,true,PDX,North America,US,Portland,365,7.35
3.99.222.135,443,443,true,YUL,North America,CA,Montréal,288,7.34
44.244.72.210,443,443,true,SEA,North America,US,Seattle,387,7.33
54.149.11.131,80,443,true,SEA,North America,US,Seattle,346,7.31
52.10.78.7,443,443,true,SEA,North America,US,Seattle,341,7.30
3.98.143.121,443,443,true,YUL,North America,CA,Montréal,374,7.28
3.99.218.248,443,443,true,YUL,North America,CA,Montréal,322,7.27
44.228.63.60,443,443,true,SEA,North America,US,Seattle,291,7.27
3.96.154.152,443,443,true,YUL,North America,CA,Montréal,334,7.21
63.176.150.144,443,443,true,FRA,Europe,DE,Frankfurt,348,7.21
3.96.169.174,443,443,true,YUL,North America,CA,Montréal,330,7.20
3.96.53.239,443,443,true,YUL,North America,CA,Montréal,321,7.20
52.32.90.142,80,443,true,SEA,North America,US,Seattle,279,7.19
63.34.145.173,443,443,true,DUB,Europe,IE,Dublin,352,7.15
44.228.63.60,80,443,true,SEA,North America,US,Seattle,259,7.14
3.99.240.79,443,443,true,YUL,North America,CA,Montréal,254,7.13
3.96.62.150,443,443,true,YUL,North America,CA,Montréal,318,7.13
52.41.218.4,80,443,true,PDX,North America,US,Portland,365,7.12
67.226.221.172,80,443,true,SJC,North America,US,San Jose,650,7.11
44.242.210.106,443,443,true,PDX,North America,US,Portland,210,7.11
67.226.221.188,443,443,true,SJC,North America,US,San Jose,522,7.10
